name,price,category
Laptop Pro 16,1250.00,Informatica
Smartphone Galaxy,799.00,Telefonia
Monitor 4K 32 pollici,350.50,Informatica
Mouse Gaming RGB,45.90,Periferiche PC
Tastiera Meccanica Wireless,89.00,Periferiche PC
Cuffie Noise Cancelling,120.00,Audio
Speaker Bluetooth Portatile,55.00,Audio
SSD Esterno 1TB,110.00,Informatica
Sedia Ergonomica Ufficio,180.00,Arredamento
Scrivania in Legno,210.00,Arredamento
Lampada LED da Tavolo,25.50,Casa
Microfono USB Studio,75.00,Audio
Webcam Full HD,40.00,Periferiche PC
Zaino porta PC,35.00,Accessori
Power Bank 20000mAh,29.99,Accessori
Tappetino Yoga Antiscivolo,15.00,Sport
Set Manubri 5kg,30.00,Sport
Borraccia Termica 1L,18.50,Sport
Smartwatch Sport,145.00,Telefonia
Cavo HDMI 2.1 2mt,12.00,Accessori
